time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	1	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.735292	0.629424	7.20493	-1.52668e-17	-4.7012e-17	radar	74.6446	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.1605	0.49494	7.20802	-0.127184	-0.0118688	lidar	0.220945	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.25799	0.533093	7.19319	0.122653	0.0307136	radar	1.82505	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.61584	0.595357	7.20672	0.161502	0.0463963	lidar	0.167274	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.85112	0.56196	6.00794	0.0256271	-0.234011	radar	7.66154	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.16288	0.591356	6.00761	0.0402697	-0.178005	lidar	0.253517	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.37876	0.637349	5.60176	0.0564996	-0.338651	radar	6.22704	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.65588	0.654514	5.59928	0.0452565	-0.317229	lidar	0.00805294	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.92235	0.648156	5.53358	-0.00227934	-0.469376	radar	0.401544	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.15809	0.643866	5.4892	-0.0156173	-0.434828	lidar	1.19453	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.4437	0.539844	5.52254	-0.164378	-0.85115	radar	1.27296	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.74681	0.427354	5.5902	-0.283836	-1.07537	lidar	2.09151	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	4.02757	0.511918	5.55134	-0.145754	-0.545195	radar	4.15138	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.30141	0.504041	5.53271	-0.138469	-0.461252	lidar	0.37021	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.56185	0.540536	5.44636	-0.0973194	-0.322611	radar	2.05938	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.75089	0.647775	5.28064	0.00463566	-0.0729914	lidar	12.8487	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	5.00292	0.646679	5.21065	-0.00371803	-0.0853412	radar	1.85201	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443900000	5.30308	0.643656	5.263	-0.0104912	-0.0901007	lidar	2.46199	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
1477010443950000	5.56114	0.651461	5.2859	-0.00423635	-0.0679265	radar	1.74634	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444000000	5.85441	0.668094	5.3207	0.00447309	-0.0468646	lidar	1.57714	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
1477010444050000	6.09718	0.593326	5.25254	-0.0521802	-0.143037	radar	3.6773	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
1477010444100000	6.35229	0.709297	5.22584	0.0276809	0.000840736	lidar	3.94795	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
1477010444150000	6.6028	0.741371	5.18556	0.0430636	0.0242789	radar	0.608693	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305
1477010444200000	6.84974	0.740116	5.17189	0.0367357	0.0124845	lidar	0.281871	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999
1477010444250000	7.09323	0.722283	5.09041	0.0184863	-0.0207243	radar	2.97449	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269
1477010444300000	7.31275	0.809811	5.04269	0.0688502	0.0591181	lidar	3.14405	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123
1477010444350000	7.60379	0.821309	5.14829	0.0679072	0.0544199	radar	4.37785	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531
1477010444400000	7.85368	0.798204	5.13989	0.0465673	0.0177544	lidar	0.538757	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469
1477010444450000	8.10362	0.815535	5.084	0.0492599	0.0179182	radar	2.35604	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915
1477010444500000	8.34059	0.834128	5.06301	0.0542865	0.0244325	lidar	0.451612	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843
1477010444550000	8.60776	0.930067	5.15207	0.105075	0.103128	radar	6.91382	8.45858	1.41118	8.60472	1.06011	5.06537	0.865226
1477010444600000	8.84426	0.992072	5.12909	0.131171	0.135338	lidar	0.738757	8.74615	1.04858	8.85775	1.10473	5.05216	0.919037
1477010444650000	9.13253	1.03316	5.18791	0.139905	0.137341	radar	6.73197	9.8809	1.1419	9.1101	1.15208	5.03798	0.974245
1477010444700000	9.36944	1.0655	5.16251	0.145215	0.135442	lidar	0.685934	9.25579	1.04913	9.36172	1.20223	5.0228	1.03082
1477010444750000	9.64696	1.14499	5.21681	0.174273	0.168472	radar	4.39935	10.1016	1.52474	9.61255	1.25524	5.00656	1.08873
1477010444800000	9.9178	1.2808	5.25039	0.233301	0.244689	lidar	2.71476	10.0484	1.44598	9.86254	1.31118	4.98922	1.14794
1477010444850000	10.1642	1.38624	5.19947	0.274485	0.29374	radar	4.33705	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.3887	1.46404	5.1693	0.294773	0.303115	lidar	1.01656	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.6181	1.5665	5.09201	0.332365	0.346437	radar	3.60133	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.846	1.58309	5.05368	0.312685	0.292098	lidar	1.79513	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.1115	1.63525	5.09632	0.306659	0.25744	radar	2.19318	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.3931	1.66719	5.12727	0.288313	0.209913	lidar	2.24507	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.6242	1.72808	5.08211	0.294997	0.207314	radar	0.909102	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.8553	1.78557	5.06086	0.297123	0.195421	lidar	0.398082	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.1097	1.87928	5.12091	0.312584	0.199021	radar	1.34942	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.3558	1.89422	5.09586	0.28604	0.145183	lidar	0.907366	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.6122	1.95172	5.13942	0.28046	0.121729	radar	1.00575	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.8101	2.09397	5.11125	0.332464	0.189845	lidar	3.11763	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.0757	2.20255	5.20461	0.346349	0.187361	radar	3.4276	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.2775	2.34783	5.17977	0.392765	0.242218	lidar	2.26174	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	13.4532	2.5131	5.07901	0.458644	0.335404	radar	10.3389	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.7042	2.61751	5.10392	0.465826	0.320771	lidar	0.917276	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	13.9225	2.73736	5.08825	0.486818	0.330559	radar	0.146004	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	14.151	2.88552	5.11181	0.516684	0.349297	lidar	0.382835	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	14.4027	2.98968	5.17544	0.506152	0.293554	radar	1.70947	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	14.6136	3.04979	5.11309	0.489709	0.250292	lidar	2.44493	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	14.8436	3.20529	5.17513	0.512959	0.256393	radar	3.68411	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
